body_0_w,body_0_x,body_0_y,body_0_z
0.993469,-0.085404,0.073584,0.017632
0.993476,-0.085443,0.073479,0.017460
0.993485,-0.085443,0.073411,0.017246
0.993504,-0.085410,0.073242,0.017063
0.993527,-0.085361,0.073021,0.016896
0.993528,-0.085342,0.073059,0.016765
0.993528,-0.085281,0.073126,0.016778
0.993526,-0.085138,0.073251,0.017081
0.993519,-0.085062,0.073414,0.017200
0.993508,-0.085019,0.073597,0.017229
0.993494,-0.085063,0.073672,0.017480
0.993482,-0.085026,0.073833,0.017685
0.993472,-0.084828,0.074166,0.017799
0.993471,-0.084802,0.074173,0.017944
0.993475,-0.084862,0.074015,0.018103
0.993476,-0.084748,0.074177,0.017894
0.993476,-0.084582,0.074416,0.017733
0.993470,-0.084313,0.074812,0.017666
0.993471,-0.084190,0.074945,0.017644
0.993475,-0.084140,0.074946,0.017643
0.993469,-0.084109,0.074955,0.018066
0.993467,-0.084106,0.074939,0.018287
0.993471,-0.084157,0.074872,0.018103
0.993477,-0.084256,0.074683,0.018075
0.993485,-0.084379,0.074432,0.018126
0.993471,-0.084475,0.074465,0.018291
0.993468,-0.084464,0.074482,0.018420
0.993487,-0.084243,0.074465,0.018478
0.993480,-0.084219,0.074573,0.018529
0.993460,-0.084295,0.074743,0.018577
0.993497,-0.084231,0.074352,0.018451
0.993512,-0.084184,0.074201,0.018467
0.993482,-0.084173,0.074533,0.018769
0.993474,-0.084208,0.074514,0.019147
0.993475,-0.084265,0.074320,0.019562
0.993483,-0.084235,0.074252,0.019553
0.993496,-0.084161,0.074168,0.019542
0.993519,-0.083998,0.074051,0.019526
0.993533,-0.083906,0.073990,0.019416
0.993543,-0.083850,0.073958,0.019259
0.993555,-0.083751,0.073853,0.019480
0.993562,-0.083719,0.073781,0.019570
0.993557,-0.083823,0.073775,0.019398
0.993568,-0.083845,0.073638,0.019213
0.993589,-0.083827,0.073437,0.019020
0.993609,-0.083703,0.073330,0.018925
0.993627,-0.083621,0.073208,0.018777
0.993643,-0.083619,0.073059,0.018520
0.993642,-0.083488,0.073199,0.018632
0.993632,-0.083294,0.073483,0.018930
0.993653,-0.083283,0.073326,0.018459
0.993672,-0.083353,0.073067,0.018149
0.993686,-0.083586,0.072602,0.018157
0.993681,-0.083616,0.072629,0.018195
0.993666,-0.083546,0.072901,0.018247
0.993694,-0.083384,0.072815,0.017827
0.993712,-0.083266,0.072759,0.017600
0.993711,-0.083236,0.072761,0.017762
0.993726,-0.083023,0.072864,0.017514
0.993748,-0.082718,0.073017,0.017062
0.993746,-0.082873,0.072882,0.016977
0.993748,-0.082951,0.072796,0.016858
0.993757,-0.082874,0.072808,0.016673
0.993760,-0.082786,0.072898,0.016508
0.993761,-0.082693,0.073028,0.016352
0.993785,-0.082545,0.072899,0.016223
0.993806,-0.082401,0.072809,0.016047
0.993823,-0.082265,0.072799,0.015777
0.993824,-0.082160,0.072953,0.015549
0.993817,-0.082071,0.073190,0.015343
0.993820,-0.082074,0.073105,0.015550
0.993822,-0.082053,0.073061,0.015717
0.993824,-0.081982,0.073096,0.015804
