joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.003249,-0.004791,0.029091,-0.016462,-0.008361,-0.014150,-0.036319,0.007015,-0.002244,0.018377,0.016289,0.013559,0.008519,-0.035219,0.010162,0.000000,0.015303,-0.010492,0.000000,-0.009073,-0.029736,0.011312,0.055915,0.006627,-0.017036,-0.005603,0.017663,-0.017199,0.009293
0.043273,-0.019545,0.021758,-0.029726,0.014425,-0.002317,-0.010624,0.022986,-0.006569,-0.047609,0.007531,0.003694,0.020118,0.023016,-0.016890,0.000000,-0.009484,-0.027185,0.000000,0.001427,-0.015490,-0.007868,0.032315,0.013637,-0.019304,-0.012566,0.013526,-0.005304,0.012795
0.022603,-0.016345,0.019817,-0.017942,0.006714,0.005171,-0.005364,0.009180,-0.012496,-0.042873,0.004318,-0.002455,0.018847,0.021384,-0.013309,0.000000,-0.015895,-0.018407,0.000000,-0.000361,-0.022431,0.000584,0.023407,0.014534,0.000051,-0.002593,0.009035,0.002753,0.007333
-0.018736,-0.009946,0.015935,0.005627,-0.008706,0.020145,0.005157,-0.018431,-0.024350,-0.033401,-0.002108,-0.014754,0.016304,0.018120,-0.006146,0.000000,-0.028718,-0.000851,0.000000,-0.003937,-0.036314,0.017488,0.005590,0.016328,0.038761,0.017351,0.000053,0.018867,-0.003591
-0.023241,-0.012373,0.002244,-0.006683,-0.007972,0.004830,-0.010510,-0.014904,0.003179,-0.002168,0.010473,-0.010960,0.016566,0.009531,0.009533,0.000000,-0.011203,0.003887,0.000000,0.017284,-0.020424,0.030437,0.000123,-0.021692,0.019280,0.015655,-0.005503,-0.001485,-0.004334
-0.025494,-0.013587,-0.004602,-0.012839,-0.007605,-0.002828,-0.018343,-0.013141,0.016944,0.013449,0.016764,-0.009063,0.016697,0.005236,0.017373,0.000000,-0.002446,0.006256,0.000000,0.027895,-0.012479,0.036911,-0.002611,-0.040702,0.009540,0.014807,-0.008281,-0.011660,-0.004705
-0.006103,-0.011542,0.017994,-0.004014,0.020843,0.018658,-0.015147,-0.012423,-0.018641,-0.058722,0.002092,-0.008577,0.010636,0.029735,0.006107,0.000000,0.008229,-0.003422,0.000000,0.000772,-0.016407,0.008637,0.008419,0.014066,0.016280,0.019518,0.014538,-0.024557,0.012073
-0.003295,-0.010936,0.009922,0.001863,0.013745,0.020294,-0.010386,-0.011059,-0.013044,-0.050646,0.005576,-0.008936,0.010302,0.028574,0.000462,0.000000,0.004032,-0.001629,0.000000,0.002775,-0.018228,0.013919,0.007529,0.008424,0.015570,0.018180,0.006760,-0.019812,0.003331
0.002321,-0.009723,-0.006223,0.013618,-0.000451,0.023564,-0.000863,-0.008332,-0.001849,-0.034493,0.012546,-0.009654,0.009633,0.026253,-0.010827,0.000000,-0.004363,0.001958,0.000000,0.006781,-0.021871,0.024483,0.005751,-0.002858,0.014150,0.015502,-0.008796,-0.010324,-0.014153
0.006360,0.002975,-0.014513,0.033582,0.014380,0.029197,0.020456,-0.021339,0.009359,-0.031871,0.022240,-0.015596,0.028876,0.039359,-0.017413,0.000000,0.002997,0.005641,0.000000,0.006251,-0.016499,0.025213,-0.015554,-0.027844,0.003726,0.006833,-0.013189,-0.017577,-0.029214
